"property","city","state","type","nyc_li",id,"state_short"
"IP North","Covington","Louisiana","Retail",NULL,84,"LA"
"Kohls Plaza","Levittown","New York","Retail","[Null]",2,"NY"
"Concourse Plaza","Bronx","New York","Retail",NULL,3,"NY"
"Commack Corner","Commack","New York","Retail","[Null]",4,"NY"
"Carrollton Plaza Shopping Center","New Orleans","Louisiana","Retail",NULL,5,"LA"
"Bosque River Center","Stephenville","Texas","Retail",NULL,6,"TX"
"Nassau Mall","Levittown","New York","Retail","[Null]",7,"NY"
"Delmont Village Shopping Center","Baton Rouge","Louisiana","Retail",NULL,8,"LA"
"East End Commons","Riverhead","New York","Retail","[Null]",9,"NY"
"East Lake Shopping Center","New Orleans","Louisiana","Retail",NULL,10,"LA"
"Glen Oaks Shopping Center","Queens","New York","Retail","[Null]",11,"NY"
"Concourse  Plaza Office Tower II","Bronx","New York","Office","nyc",89,"NY"
"Home Depot Shopping Center","Elmont","New York","Retail","[Null]",14,"NY"
"Lakeside Shopping Center","Metairie","Louisiana","Retail",NULL,15,"LA"
"North Riverside Park Mall","North Riverside","Illinois","Retail",NULL,16,"IL"
"One & Olney Square","Philadelphia","Pennsylvania","Retail",NULL,17,"PA"
"Parkwest Center","Fort Wayne","Indiana","Retail",NULL,18,"IN"
"Pine Valley Shopping Center","Fort Wayne","Indiana","Retail",NULL,19,"IN"
"5000 Sunrise Highway","Massapequa Park","New York","Retail","lie",93,"NY"
"Stop & Shop at Cherry Valley","West Hempstead","New York","Retail","[Null]",21,"NY"
"6851 Veterans Memorial Highway","Metairie","Louisiana","Retail",NULL,22,"LA"
"10 South Lasalle St.","Chicago","Illinois","Office",NULL,23,"IL"
"140 West 57th St.","New York","New York","Office",NULL,24,"NY"
"145 West 30th St.","New York","New York","Office",NULL,25,"NY"
"200 West 57th St.","New York","New York","Office",NULL,26,"NY"
"2001 Marcus Ave.","Lake Success","New York","Office",NULL,27,"NY"
"250 Park Avenue S.","New York","New York","Office",NULL,28,"NY"
"257 Park Avenue S.","New York","New York","Office",NULL,29,"NY"
"261 Fifth Ave.","New York","New York","Office",NULL,30,"NY"
"3445 N. Causeway Blvd.","Metairie","Louisiana","Office",NULL,31,"LA"
"3601 Hempstead Tpke.","Levittown","New York","Office",NULL,32,"NY"
"488 Madison Ave.","New York","New York","Office",NULL,33,"NY"
"570 Lexington Ave.","New York","New York","Office",NULL,34,"NY"
"645 North Michigan Ave.","Chicago","Illinois","Office",NULL,35,"IL"
"841 Broadway","New York","New York","Office",NULL,36,"NY"
"853 Broadway","New York","New York","Office",NULL,37,"NY"
"Causeway Plaza","Metairie","Louisiana","Office",NULL,38,"LA"
"Commonwealth Industrial Complex","Suffolk","Virginia","Office",NULL,39,"VA"
"IP North","Covington","Louisiana","Office",NULL,40,"LA"
"Fred F. French Building","New York","New York","Office",NULL,41,"NY"
"Garden City Center","Garden City","New York","Office",NULL,42,"NY"
"615 Sunrise Highway","Patchogue","New York","Retail","lie",87,"NY"
"Metairie Towers","Metairie","Louisiana","Office",NULL,44,"LA"
"Oakwood Corporate Center","Gretna","Louisiana","Office",NULL,45,"LA"
"Queens Atrium","Long Island City","New York","Office",NULL,46,"NY"
"Seven Penn Plaza","New York","New York","Office",NULL,47,"NY"
"The Galleria","Metairie","Louisiana","Office",NULL,48,"LA"
"25-20 Brooklyn Queens Expy.","Woodside","New York","Industrial",NULL,49,"NY"
"31-11 Thomson Ave.","Long Island City","New York","Industrial",NULL,50,"NY"
"747 Zeckendorf Blvd.","Garden City","New York","Industrial",NULL,51,"NY"
"Clark Industrial Park","Clark","New Jersey","Industrial",NULL,52,"NJ"
"4 Park Ave.","New York","New York","Residential","nyc",53,"NY"
"160 East 84th St.","New York","New York","Residential","nyc",54,"NY"
"1700 York Ave.","New York","New York","Residential","nyc",55,"NY"
"Gramercy Row","New York","New York","Residential","nyc",56,"NY"
"Sherry House","New York","New York","Residential","nyc",57,"NY"
"The Clermont York","New York","New York","Residential","nyc",58,"NY"
"The Clermont","New York","New York","Residential","nyc",59,"NY"
"Calmar","Rego Park","New York","Residential","lie",60,"NY"
"Harlem Interfaith","Harlem","New York","Residential","nyc",61,"NY"
"Merrick Terrace","Oceanside","New York","Residential","lie",63,"NY"
"Richlee Gardens","Mineola","New York","Residential","lie",64,"NY"
"Freepark Apts.","Freeport","New York","Residential","lie",65,"NY"
"Mayfield Estates","Valley Stream","New York","Residential","lie",66,"NY"
"Eastcrest Apts.","East Rockaway","New York","Residential","lie",67,"NY"
"Woodcrest Village","Oceanside","New York","Residential","lie",68,"NY"
"Halandia Shores","Baldwin","New York","Residential","lie",69,"NY"
"Halandia Court","Rockville Centre","New York","Residential","lie",70,"NY"
"Island Park","Island Park","New York","Residential","lie",71,"NY"
"Greenwich Gardens","Hempstead","New York","Residential","lie",72,"NY"
"Bell Oak Apts.","New Orleans","Louisiana","Residential","[Null]",73,"LA"
"Covington Square Apts.","New Orleans","Louisiana","Residential","[Null]",74,"LA"
"Gatehouse Apts.","New Orleans","Louisiana","Residential","[Null]",75,"LA"
"La Maison Apts.","New Orleans","Louisiana","Residential","[Null]",76,"LA"
"Commack Plaza","Commack","New York","Retail","[Null]",77,"NY"
"Selimana","Metairie","Louisiana","Retail",NULL,78,"LA"
"151 Brookhollow Esplnd.","Harahan","Louisiana","Industrial",NULL,79,"LA"
"155 Brookhollow Esplnd.","Harahan","Louisiana","Industrial",NULL,80,"LA"
"1000 Elmwood Park Blvd.","New Orleans","Louisiana","Industrial",NULL,81,"LA"
"1008 Elmwood Park Blvd.","New Orleans","Louisiana","Industrial",NULL,82,"LA"
"5800 Jefferson Hwy.","Jefferson","Louisiana","Industrial",NULL,83,"LA"
"3300 North Causeway Blvd.","Metairie","Louisiana","Retail",NULL,86,"LA"
"2194 Sunrise Highway","Merrick","New York","Retail","lie",88,"NY"
"Baypoint Commerce Center","St. Petersburg","Florida","Office",NULL,90,"FL"
"21 Penn Plaza","New York","New York","Office",NULL,91,"NY"
"400 Hempstead Turnpike","West Hempstead","New York","Retail","lie",92,"NY"
"Sunrise Business Center","Great River","New York","Office","lie",94,"NY"
"5060 Sunrise Highway","Massapequa Park","New York","Retail","lie",95,"NY"
