id,"name","address","city","state",zip,gba,floors,"image",employee,show,"type","subgroup","costar"
1,"140 West 57th Street","140 West 57th Street","New York","NY",10001,0,0,"",1,0,"Office","Midtown","http://www.costar.com/costarconnect/MasterPage/Main.aspx?SiteID=23098&CheckSum=545297166&InvestmentProperty=False&propertyid=159815&IsCostar=Costar"
2,"200 West 57th Street","200 West 57th Street","New York","NY",10001,0,0,"",1,0,"Office","Midtown","http://www.costar.com/costarconnect/MasterPage/Main.aspx?SiteID=23098&CheckSum=545297166&InvestmentProperty=False&propertyid=41368&IsCostar=Costar"
3,"570 Lexington Avenue","570 Lexington Avenue","New York","NY",10001,0,0,"",2,0,"Office","Midtown","http://www.costar.com/costarconnect/MasterPage/Main.aspx?SiteID=23098&CheckSum=545297166&InvestmentProperty=False&propertyid=111040&IsCostar=Costar"
4,"488 Madison Avenue","488 Madison Avenue","New York","NY",10001,0,0,"",2,0,"Office","Midtown","http://www.costar.com/costarconnect/MasterPage/Main.aspx?SiteID=23098&CheckSum=545297166&InvestmentProperty=False&propertyid=157402&IsCostar=Costar"
5,"551 Fifth Avenue","551 Fifth Avenue","New York","NY",10001,0,0,"",1,0,"Office","Midtown","http://www.costar.com/costarconnect/MasterPage/Main.aspx?SiteID=23098&CheckSum=545297166&InvestmentProperty=False&propertyid=157159&IsCostar=Costar"
6,"7 Penn Plaza","7 Penn Plaza","New York","NY",10001,0,0,"",4,0,"Office","Midtown_South","http://www.costar.com/costarconnect/MasterPage/Main.aspx?SiteID=23098&CheckSum=545297166&InvestmentProperty=False&propertyid=157587&IsCostar=Costar"
7,"145 West 30th Street","145 West 30th Street","New York","NY",10001,0,0,"",3,0,"Office","Midtown","http://www.costar.com/costarconnect/MasterPage/Main.aspx?SiteID=23098&CheckSum=545297166&InvestmentProperty=False&propertyid=157952&IsCostar=Costar"
13,"6851 Veterans Memorial Highway","6851 Veterans Memorial Highway","Metairie","LA",0,0,0,"",0,0,"Retail","","http://www.costar.com/costarconnect/MasterPage/Main.aspx?SiteID=23098&CheckSum=545297166&InvestmentProperty=False&propertyid=5567238&IsCostar=Costar"
8,"261 Fifth Avenue","261 Fifth Avenue","New York","NY",10001,0,0,"",3,0,"Office","Midtown_South","http://www.costar.com/costarconnect/MasterPage/Main.aspx?SiteID=23098&CheckSum=545297166&InvestmentProperty=False&propertyid=157312&IsCostar=Costar"
9,"250 Park Avenue South","250 Park Avenue South","New York","NY",10001,0,0,"",3,0,"Office","Midtown","http://www.costar.com/costarconnect/MasterPage/Main.aspx?SiteID=23098&CheckSum=545297166&InvestmentProperty=False&propertyid=158026&IsCostar=Costar"
